Nuclei_Location_Center_X,Nuclei_Location_Center_Y
569,325
905,323
874,325
1042,329
1113,324
1658,330
930,325
1437,328
1674,328
1424,340
94,328
620,321
822,333
1365,332
546,331
585,342
1104,339
1900,323
2028,333
765,327
2003,335
850,332
887,334
933,346
1415,338
634,334
781,320
1025,334
1927,334
2032,342
566,347
1867,331
1408,354
500,333
548,340
1047,352
1448,342
697,342
485,340
603,348
1890,339
525,352
764,352
104,349
716,363
711,340
1380,346
473,348
780,365
1802,346
794,347
634,348
876,343
1915,357
823,343
1867,362
798,356
894,348
1401,354
1389,357
2002,354
1234,357
1835,355
1886,357
913,353
1452,355
179,355
247,349
460,351
245,366
553,358
749,359
1637,360
1808,359
618,365
201,371
340,345
1659,369
1676,370
1354,369
1924,364
221,366
587,360
658,375
1466,368
748,379
827,367
914,377
2017,367
901,387
1700,362
559,373
1831,370
486,379
584,367
595,379
885,381
1243,377
1927,374
570,379
1445,376
843,381
443,370
781,397
463,380
546,378
1257,375
638,391
1228,378
1331,376
1421,379
1884,379
271,376
442,382
2000,372
302,381
608,389
1639,377
1708,376
1811,375
370,381
1403,390
1852,381
810,381
1993,386
532,387
1034,389
2020,397
479,390
1254,391
1276,385
359,385
559,405
1721,389
1819,394
331,394
629,408
1681,391
450,396
512,397
1274,398
1310,393
1359,394
1419,395
1868,395
1224,393
1298,383
1338,393
1911,393
839,393
1263,400
1623,384
468,395
539,396
1478,387
858,398
1370,393
1395,399
1746,395
1778,392
2010,397
494,400
803,407
1668,401
1731,400
1937,390
1995,399
150,403
293,404
339,403
466,403
1347,402
1791,385
1862,404
828,393
434,407
1247,408
1366,411
1402,409
1693,404
1758,402
411,406
1276,408
1714,415
328,414
537,409
1298,408
1483,404
1776,404
527,407
544,422
1338,411
843,413
1167,410
1390,412
1316,410
383,399
513,411
1135,398
1977,401
312,414
807,424
1936,411
1426,407
1460,400
1495,420
1672,412
1767,416
1255,415
1452,426
395,416
453,420
532,424
1353,420
2007,413
2024,421
293,420
1234,420
1504,421
347,411
1270,425
1619,416
1969,433
1374,417
564,424
1172,419
851,426
1155,411
1961,407
1207,411
1301,426
1487,427
312,426
437,438
1287,426
422,435
1332,430
1951,433
300,429
389,431
1221,433
1671,429
519,432
1139,427
1723,432
1745,437
1254,432
1442,449
1525,434
1152,435
1345,426
1695,430
1362,435
1479,437
1796,430
1118,426
1507,437
407,436
559,439
1626,413
1775,438
1934,439
1239,432
468,440
313,441
1271,439
1004,430
1301,442
1312,435
1828,456
2001,434
1333,441
286,438
1058,438
1111,440
544,448
1025,439
211,438
1207,438
1584,435
1162,455
1172,444
1187,427
1232,447
1354,443
1688,438
348,441
529,443
1324,441
1921,442
1978,457
80,431
231,446
1000,448
1075,433
1268,449
1998,458
328,447
1100,447
1992,451
309,449
1278,462
1372,450
1801,449
1898,458
1131,461
1313,449
1601,451
2030,452
393,454
1409,448
267,458
1081,451
1334,452
1504,454
1390,458
1535,444
1790,456
1916,470
1205,464
1296,459
1353,452
1820,464
1966,456
1405,465
1586,455
376,461
1058,469
1947,456
1672,460
1725,462
1075,461
1311,466
1378,458
1575,451
1024,459
1428,465
1010,466
1341,463
1045,470
1472,453
1599,472
1773,466
1151,466
1495,465
1756,462
1799,472
1988,466
2009,464
1105,469
1516,468
1082,470
155,466
1189,473
1374,468
1948,487
1068,470
1387,468
1732,462
1361,469
1113,470
1720,472
1176,478
1931,472
1327,470
64,474
282,477
1145,478
1301,476
1168,493
1396,485
1434,485
1588,473
978,476
1350,477
1477,484
367,478
1008,477
1107,481
1028,479
1188,488
1644,485
1261,487
1614,477
1726,484
1762,478
1573,479
1686,476
158,483
1311,486
1500,485
293,485
1649,490
982,493
1076,483
1319,483
1013,491
1133,486
1680,493
1954,493
310,484
1606,492
382,490
1522,484
85,483
1150,494
1752,488
69,491
145,502
225,487
1038,491
1333,492
342,504
1285,492
1365,484
1494,497
1828,494
316,499
1804,488
838,490
1094,491
1734,492
1005,499
1046,497
1503,502
1792,498
354,494
1004,504
1313,501
1755,496
1026,501
1662,514
1867,498
1918,505
270,504
1348,505
1728,505
55,495
1467,504
1814,500
326,504
1377,505
1585,505
1769,508
1801,507
1052,517
1753,505
95,487
854,500
1084,506
1533,503
1037,513
1443,518
1479,503
1485,512
1716,509
1883,513
289,513
1070,505
1323,506
1456,490
1405,511
1807,513
982,510
1108,507
1312,525
869,512
1587,516
1603,508
1644,524
383,515
1460,521
1720,534
1753,518
1618,518
1832,519
38,509
93,521
1004,518
1349,520
280,526
964,514
1595,529
1634,523
54,520
1781,518
319,519
1811,530
300,545
1330,520
1526,516
105,529
390,526
1106,529
1384,524
1672,527
1078,522
971,539
1496,528
1621,529
945,532
1455,531
1730,526
1742,520
837,525
868,532
1475,538
1487,526
1683,535
1412,543
1521,535
1559,527
1618,537
317,540
999,535
1126,531
1356,530
1752,534
334,533
892,529
927,534
1090,532
1429,520
98,534
339,544
855,540
1126,546
1395,540
1508,541
2016,533
1023,529
1104,546
46,531
1650,541
1705,537
1340,540
1430,542
1463,542
868,549
1378,540
1695,527
1450,551
270,532
1051,540
1083,548
1541,540
1810,542
912,538
1301,541
1779,535
1597,547
1527,554
1831,546
982,551
1325,549
1754,544
1856,537
95,547
441,543
1394,550
1788,550
22,536
44,550
889,552
1578,537
1508,557
1609,552
143,543
382,565
412,544
1071,547
1045,553
1394,562
1544,555
1356,554
1707,559
1755,558
1684,556
72,534
1029,556
1057,560
1641,556
1431,555
1467,571
422,562
1808,559
278,553
43,563
1483,567
1662,562
73,562
1617,560
106,562
1373,563
1692,560
1038,569
1317,563
1413,577
1509,571
85,575
1571,559
223,557
1733,566
1678,570
2022,563
80,562
887,568
1653,580
1669,554
246,571
1024,574
1065,574
1363,573
1543,573
233,575
116,575
1648,574
1660,572
1695,574
1757,579
1435,573
1569,580
97,575
403,573
1615,579
1709,585
1855,580
1563,579
1735,580
1767,574
1393,581
1489,575
1717,580
1823,572
134,581
228,587
240,583
424,580
1687,583
1788,575
208,569
1496,585
1934,580
79,586
94,587
155,571
1084,592
64,586
1467,587
1744,591
268,592
1437,592
1642,587
1453,584
1600,576
26,587
163,589
174,587
1887,597
1486,590
192,597
1582,590
1702,595
1756,589
1784,597
1809,592
1995,591
36,594
1934,597
1982,585
846,591
1519,594
2007,584
1967,588
240,594
1660,597
1726,602
1849,603
2032,599
1635,595
1765,593
1838,591
1015,593
1672,597
1950,595
1377,593
1988,601
880,596
1751,599
39,604
226,600
158,608
1540,602
273,603
1957,616
67,597
209,616
251,602
816,595
1648,615
857,600
1614,603
1624,610
1761,601
241,607
889,605
996,610
1029,613
1494,612
1401,606
2027,609
845,610
1442,612
419,614
1471,602
1517,610
1538,613
1359,606
870,615
1452,605
1586,613
1750,616
58,615
232,620
808,602
178,611
271,618
855,619
1629,622
1698,621
56,623
1474,618
879,624
1765,613
1380,624
95,632
1758,625
1451,633
1512,625
1737,626
1786,619
1035,625
1748,641
1370,639
1767,632
45,641
1013,625
1535,633
1615,632
72,628
221,630
425,632
1489,630
153,642
185,631
386,638
903,629
243,641
1432,638
1600,640
1681,634
1801,633
1508,640
1648,638
1777,637
1058,632
24,632
165,644
770,628
811,642
1611,644
1789,643
195,645
1637,644
867,644
1572,644
412,653
1026,649
1364,650
179,648
1013,654
1626,644
169,653
1774,653
263,651
363,641
896,654
1046,653
1443,649
1542,650
1720,637
127,662
203,659
321,645
835,657
1350,645
1704,650
1808,656
345,646
868,651
1649,658
1740,651
28,659
12,657
74,649
191,658
1477,642
390,659
920,648
433,655
814,652
947,649
1695,661
1714,659
1753,670
279,659
793,651
1065,654
1622,659
875,658
1346,663
1461,663
165,665
1513,665
1659,674
1775,664
675,653
1543,669
768,664
1036,665
1452,683
51,662
1391,653
263,669
1482,669
1731,662
72,668
352,666
1374,669
1568,661
435,666
787,668
858,666
932,671
397,665
1680,673
803,670
1711,673
1790,677
366,670
1427,665
915,672
1630,673
1728,695
116,673
704,673
1394,675
59,672
87,676
1037,682
1095,672
326,677
1083,658
140,677
282,677
950,673
1501,682
1766,674
340,679
944,680
1489,679
1723,683
1881,677
74,685
156,685
1325,673
1693,680
398,680
505,680
905,686
1063,676
1339,686
117,692
173,682
488,678
366,683
429,694
411,687
454,677
954,697
971,690
1489,689
1634,686
743,697
876,684
989,692
1616,687
41,681
1095,690
520,693
775,685
1367,685
1426,692
238,692
332,691
386,689
421,686
58,691
402,691
1329,688
1476,689
1687,694
1701,692
100,686
121,702
1415,689
1873,697
90,687
1898,695
204,692
275,696
314,688
1022,705
1531,695
1667,689
170,692
813,694
1320,695
1467,693
691,691
1081,692
1395,690
1635,702
791,686
920,702
1652,700
1389,702
1436,692
1525,709
1545,698
24,689
219,697
337,704
829,698
1044,701
362,700
482,710
538,693
1349,699
86,700
470,690
1499,698
72,703
731,701
879,704
1658,719
1682,704
798,705
1480,715
810,706
1644,709
24,707
1338,710
261,712
183,707
224,708
768,704
1370,707
441,702
445,712
518,711
589,707
752,684
1497,714
132,714
949,715
1388,713
1415,711
1675,721
83,718
288,707
310,709
346,712
414,709
1427,711
1544,711
41,714
330,718
1047,714
49,709
93,713
380,720
670,708
816,717
1455,716
457,717
735,718
900,719
1029,725
1400,713
101,713
348,722
69,717
112,722
203,721
1349,718
1515,720
1431,720
1559,719
167,717
228,720
541,721
1377,727
1730,727
710,726
863,723
1449,733
910,727
1080,731
1420,724
410,725
518,726
1467,729
334,726
783,728
1408,730
1568,728
1602,731
191,731
603,729
1338,728
258,730
307,727
353,729
479,726
649,718
937,728
872,746
688,729
760,732
1053,729
1505,732
1872,730
445,733
619,714
666,729
1365,752
437,728
698,732
734,734
1038,735
1516,736
181,736
235,731
633,738
1352,737
86,732
462,738
913,736
1426,736
208,735
1580,743
356,740
924,740
1058,739
123,737
276,735
1340,743
1492,738
43,731
598,744
853,751
22,739
553,735
579,735
900,737
424,740
1320,756
75,743
343,745
1035,744
1555,744
63,749
256,746
295,743
578,757
891,741
943,744
13,748
72,750
102,741
750,742
775,732
1422,750
182,756
1467,754
607,749
691,742
912,755
1534,747
29,749
287,752
611,755
736,754
897,762
86,753
38,753
263,745
490,740
1486,749
1879,752
119,756
558,754
1527,756
309,754
721,756
881,772
751,757
805,754
932,755
246,753
328,750
350,760
1058,752
444,760
1088,752
1399,748
1652,757
618,758
1414,765
1552,762
256,756
278,760
51,760
86,783
708,764
467,767
506,753
151,757
643,763
744,771
1099,761
1508,754
1522,763
371,764
867,771
83,765
194,764
229,779
488,765
721,768
134,768
163,784
566,767
1547,778
1626,763
1391,768
1441,760
543,754
595,776
1710,772
69,767
313,772
773,769
912,772
762,774
1427,775
1467,774
1517,771
1530,772
307,776
396,771
414,782
1072,772
1082,773
23,774
208,764
1410,780
1499,774
120,780
177,769
216,780
1337,775
568,782
623,774
318,782
1630,786
12,783
36,784
351,779
422,770
174,795
368,783
554,784
1526,790
1925,776
636,790
655,799
192,796
329,778
1654,789
1377,778
1488,797
339,791
784,788
1358,781
745,786
1320,781
1427,791
1474,793
110,789
494,789
681,787
1038,792
1452,788
725,789
121,798
249,790
61,792
389,795
1976,786
314,794
404,795
644,794
697,793
1085,801
1395,793
1690,786
36,799
756,792
1021,797
1329,794
373,806
567,798
1134,794
1611,797
213,805
725,802
714,800
761,800
1314,797
1372,799
1534,801
1932,809
487,806
1341,798
1991,795
440,806
1033,803
1112,791
1527,813
1964,810
228,812
1068,800
1462,801
341,806
37,808
102,793
505,807
517,794
625,805
72,812
139,825
674,814
1893,796
2021,796
418,808
1063,813
1122,817
1800,795
589,809
607,802
903,816
264,812
1358,822
1871,803
252,813
1336,813
1356,807
1379,811
1504,811
27,813
530,816
783,812
1834,803
45,817
122,820
493,816
283,806
293,823
626,815
323,838
1418,817
1476,826
568,815
699,814
73,831
1061,825
1819,819
1854,809
583,818
1073,825
386,826
1683,809
1790,825
2003,804
1318,816
1408,829
710,838
1105,826
1986,816
512,821
648,826
1051,824
1486,823
56,824
1867,826
90,823
695,827
741,817
1382,829
1512,831
1342,828
1626,819
1838,830
47,830
610,838
1072,839
237,831
341,850
363,833
424,829
623,829
1092,828
1353,838
904,836
259,831
129,841
2010,834
439,833
1013,834
283,847
1119,835
1316,837
1372,836
1708,831
1821,839
412,835
1140,838
701,837
730,850
578,840
1329,838
1401,837
1806,831
1477,849
1668,838
24,841
350,836
361,842
1432,840
433,841
1095,850
1366,842
595,848
453,840
252,856
1841,847
387,843
636,850
1054,849
1264,835
1321,847
1697,850
1855,849
546,845
116,846
573,854
1354,851
1498,853
1731,852
1893,860
485,850
661,868
1705,849
454,856
505,838
531,839
1249,849
1373,850
1532,849
1803,862
1832,853
1392,862
116,853
507,851
1122,854
1445,858
399,851
1745,851
1787,852
1069,863
1275,855
360,862
1813,854
1770,856
997,852
540,859
608,861
1288,868
1683,842
1826,864
1843,859
1237,867
1043,863
1368,866
1076,868
1341,867
1712,862
2021,869
67,863
436,858
473,862
242,866
680,864
2002,866
528,872
1792,866
426,868
638,866
1684,866
504,860
1685,882
1739,870
546,874
1380,870
1495,868
461,872
622,865
1122,873
485,872
499,879
1659,875
1751,875
245,883
435,876
553,868
1306,883
1473,871
593,870
1087,862
1771,872
1841,873
640,880
1499,873
1814,878
513,879
1444,881
1999,882
1866,877
94,888
1885,882
1041,878
1457,876
1734,883
1778,882
663,891
1825,883
1052,883
1475,884
1710,884
1763,881
401,886
543,884
1336,885
1847,885
78,884
466,889
1350,876
1438,885
1505,886
1728,908
428,889
517,896
559,884
970,879
1755,883
608,886
928,881
1832,893
52,882
958,889
439,893
1018,900
1106,887
1445,900
1657,898
1868,890
491,895
1039,893
535,897
1487,896
636,893
869,900
1291,898
1506,908
1784,891
1916,895
58,903
1011,893
1716,899
409,885
1341,901
1806,895
1326,912
1698,903
1790,904
450,899
545,902
1229,906
110,900
654,904
1073,910
1117,904
1464,910
1745,901
1900,882
948,894
1773,905
456,905
484,907
933,908
1544,904
1759,902
1085,907
1096,904
1641,892
1838,910
622,907
901,922
1528,911
1625,904
406,915
534,916
1666,917
1944,914
1296,923
1905,908
389,909
1249,922
1822,917
58,916
429,912
499,924
1043,914
1557,910
1890,915
602,913
1119,916
1224,915
1333,923
926,924
1088,918
1925,912
511,917
1614,919
1808,916
452,921
863,916
1695,921
459,915
1486,923
1743,927
1533,928
486,927
1010,922
1056,928
1777,921
883,928
475,915
1036,926
1077,929
1116,926
1643,924
1713,924
847,930
569,928
1517,951
1899,933
1991,930
866,942
1580,918
1085,943
1760,933
1852,930
968,930
464,934
523,928
659,934
1062,944
390,942
649,941
900,941
1261,939
1496,951
1487,925
1543,941
1608,930
1632,938
398,936
415,931
476,938
1676,931
1923,939
1553,944
1582,939
545,935
1649,942
995,938
1481,956
1722,938
1767,940
1011,941
1126,940
495,951
1688,946
1780,940
588,931
946,938
1956,938
563,944
1661,946
1978,948
265,940
998,950
2003,941
627,949
1224,943
1567,939
1785,946
1835,944
1888,951
695,943
977,947
1171,937
547,950
921,945
1875,953
1647,953
1696,954
561,951
582,950
907,961
1066,956
1104,949
1809,942
1967,958
596,952
963,961
1601,939
1719,953
1938,951
675,948
707,948
1557,960
1022,949
1846,957
1864,948
2000,959
653,960
1327,950
530,953
1170,957
1240,955
1301,953
1638,957
1781,965
548,966
1627,968
1841,967
976,981
1038,951
1622,953
1743,971
390,966
718,948
1886,963
57,960
1476,964
1542,966
1659,971
703,969
1237,969
2029,956
637,964
1757,959
515,963
1862,967
488,967
576,966
1728,976
1899,971
366,972
1003,962
1288,966
1048,969
1166,969
1813,969
1937,967
1970,968
1115,963
1794,971
1955,971
2001,969
664,970
1144,965
1573,968
1920,976
52,976
629,976
430,976
617,975
497,974
994,975
1260,968
1067,972
1910,958
342,980
753,980
1213,975
1343,971
1865,980
467,972
730,981
1713,984
400,980
533,980
606,976
1573,991
1637,986
2001,976
453,980
595,968
1028,982
1128,986
693,980
1173,986
2017,979
624,991
1649,986
1889,988
1913,983
1958,989
559,979
648,984
512,980
609,988
1757,988
1967,986
1979,982
636,988
1329,992
1939,982
1003,985
1088,975
585,990
1074,987
1782,992
1854,985
496,991
682,993
1831,984
1989,991
400,997
461,987
987,993
661,992
1922,993
730,995
289,993
507,996
539,1000
1102,997
1137,993
569,986
1206,997
1870,991
1945,997
558,996
1829,1004
423,997
519,994
600,1003
1918,1003
1932,998
1420,1000
715,997
1903,994
963,1001
1053,997
1807,1007
401,1017
1364,1013
1886,1004
666,1009
1175,1006
560,1006
584,1006
1587,1007
2000,1003
614,1008
1227,1005
1396,1007
1788,1016
1808,1024
1941,1008
2014,1007
573,1006
415,1022
481,1003
1151,1006
446,1007
463,1006
1033,1012
1387,1023
514,1011
799,1018
1140,1012
1905,1014
1978,1017
489,1022
931,1030
1894,1018
268,1019
1974,1010
983,1019
335,1023
1877,1020
694,1017
1003,1023
1122,1016
1584,1020
1861,1021
2018,1025
504,1024
528,1016
561,1028
596,1019
629,1019
539,1038
1839,1023
1971,1029
2003,1024
675,1028
751,1021
975,1028
1159,1024
1197,1016
1234,1021
1352,1019
1480,1020
1823,1028
1887,1021
1921,1016
2038,1020
458,1031
645,1014
1003,1012
1220,1019
1202,1024
605,1026
1179,1028
430,1023
956,1026
618,1030
1576,1029
1910,1032
544,1031
993,1051
1938,1029
1139,1035
445,1024
703,1035
1043,1033
1021,1034
1973,1041
567,1034
932,1035
367,1032
519,1031
396,1038
497,1038
1862,1047
1010,1038
1172,1038
583,1030
1841,1039
1273,1019
1587,1047
472,1045
971,1044
2012,1050
895,1037
1557,1041
1906,1048
420,1041
454,1046
1770,1045
1776,1034
368,1046
481,1056
1811,1051
1947,1046
462,1046
518,1048
675,1046
948,1050
1126,1047
1273,1038
655,1042
742,1037
1094,1042
1924,1047
1986,1045
400,1048
575,1057
702,1050
960,1045
1874,1048
1963,1047
1038,1047
1191,1047
1422,1049
599,1055
1298,1060
1029,1046
1996,1051
1787,1057
400,1057
895,1056
560,1067
617,1067
1163,1044
1405,1050
1892,1056
384,1055
502,1058
791,1049
1149,1066
65,1067
675,1054
1020,1055
1826,1059
1953,1058
2029,1058
527,1059
934,1057
1489,1045
1542,1057
1990,1059
745,1055
1092,1064
1031,1068
1588,1064
420,1062
684,1069
970,1062
1516,1055
408,1069
635,1068
1168,1064
1968,1060
546,1066
1424,1067
1688,1050
1984,1065
703,1062
805,1071
1410,1074
1971,1069
1817,1072
1945,1064
866,1062
921,1061
1047,1060
467,1068
1138,1082
2024,1072
676,1075
1760,1075
876,1058
956,1071
1007,1084
1502,1073
364,1058
709,1076
1919,1079
976,1074
1120,1077
1845,1072
1986,1080
2002,1085
775,1071
920,1080
995,1073
1025,1082
1236,1059
148,1075
1182,1073
1263,1080
1778,1074
692,1079
818,1080
1937,1076
898,1079
1795,1076
1957,1080
330,1085
488,1080
1107,1069
1828,1082
784,1077
944,1081
392,1074
623,1090
883,1078
955,1083
1047,1077
1206,1098
643,1084
1848,1088
164,1089
345,1086
650,1063
1123,1093
1607,1085
728,1083
1418,1087
1709,1071
1743,1081
423,1090
721,1087
1080,1087
464,1085
672,1093
1229,1084
1754,1091
850,1069
979,1091
1329,1093
702,1090
1305,1090
1950,1095
403,1091
632,1097
1274,1098
688,1100
1808,1094
456,1103
707,1104
1216,1098
737,1095
154,1100
1102,1095
1420,1100
1846,1101
1973,1090
869,1089
1118,1107
768,1093
856,1098
986,1106
1093,1096
1310,1110
1585,1101
346,1106
662,1113
889,1105
1560,1098
491,1100
528,1106
1076,1105
1232,1103
287,1082
306,1088
1222,1106
1490,1105
1513,1115
1985,1098
2004,1104
332,1102
633,1113
1919,1115
176,1097
1931,1097
2019,1106
395,1109
429,1111
867,1110
1011,1107
1542,1111
1768,1105
1986,1114
834,1110
931,1104
1271,1121
1944,1117
1607,1120
1975,1112
1219,1121
1582,1112
1721,1116
471,1108
755,1108
1552,1116
774,1111
742,1119
1794,1112
787,1105
849,1113
905,1117
1998,1116
316,1121
672,1123
700,1138
874,1117
1811,1123
1565,1120
337,1120
2018,1124
457,1125
415,1115
162,1125
769,1128
832,1127
899,1126
1759,1124
759,1124
951,1126
778,1124
1036,1118
1741,1120
1785,1126
433,1128
1458,1129
1708,1126
263,1126
333,1141
1774,1127
1990,1143
190,1114
884,1130
1543,1135
1071,1131
1082,1146
854,1132
690,1134
1946,1135
1973,1124
968,1126
245,1125
478,1141
754,1138
802,1143
960,1142
148,1132
991,1131
1747,1133
1749,1145
2011,1140
359,1130
442,1137
326,1138
1252,1140
1576,1137
1713,1139
405,1143
728,1158
915,1139
188,1136
497,1136
539,1142
1008,1129
712,1136
947,1142
1503,1148
238,1144
870,1135
894,1149
982,1143
252,1147
722,1130
837,1143
1829,1149
169,1145
423,1145
469,1162
655,1148
1569,1150
1556,1148
1020,1145
1434,1137
1806,1149
236,1156
416,1159
992,1160
533,1154
776,1142
1063,1160
1522,1163
1211,1140
1535,1149
1961,1156
1966,1142
161,1154
631,1150
845,1169
1481,1154
1815,1155
1456,1146
126,1149
773,1157
1014,1157
1439,1156
449,1159
659,1162
746,1157
1767,1153
1946,1153
954,1156
978,1155
2013,1157
378,1165
486,1166
196,1155
249,1162
878,1162
1249,1170
169,1172
226,1174
402,1162
855,1153
777,1171
819,1158
1236,1181
1491,1164
1832,1163
1971,1164
745,1172
807,1158
1556,1169
1731,1156
184,1163
555,1164
204,1167
196,1173
509,1167
642,1158
1572,1168
1705,1164
965,1170
1475,1166
566,1156
637,1169
115,1166
1813,1168
1765,1174
